ID,State,YEAR,Asset,Equity,Financial Leverage,Financial Leverage Ratio,Equity Net Income,IR,ROA,latitude,longitude
CB_2012_CO,Colorado,2012,42415220,4207754,10.08025184,4.08025184,400038,0.013070831,0.930819576,39.19933508,-105.6264691
CB_2012_CT,Connecticut,2012,27175165,2738578,9.923093299,3.923093299,228710,0.013070831,0.83061343,41.55935152,-72.70859702
CB_2012_DC,District Of Columbia,2012,1806899,189105,9.555003834,3.555003834,13401,0.013070831,0.731963314,38.86872333,-77.00747583
CB_2012_DE,Delaware,2012,975708563,133139264,7.328480973,1.328480973,13520401,0.013070831,1.367588502,39.24735872,-75.54971961
CB_2012_FL,Florida,2012,118829409,13702216,8.672276732,2.672276732,1063507,0.013070831,0.883288143,28.19851121,-81.99087212
CB_2012_GA,Georgia,2012,259543000,31434186,8.25671134,2.25671134,2072384,0.013070831,0.788037519,32.6948752,-83.45712495
CB_2012_GU,Guam,2012,1533250,136595,11.22478861,5.22478861,8168,0.013070831,0.525761451,13.48345,-144.7959825
CB_2012_HI,Hawaii,2012,36103313,4336203,8.326020023,2.326020023,442059,0.013070831,1.208423508,20.98874576,-157.2086999
CB_2012_IA,Iowa,2012,67559197,7041870,9.593928459,3.593928459,778124,0.013070831,1.136711664,41.94750209,-93.43162288
CB_2012_ID,Idaho,2012,6146740,748203,8.215337281,2.215337281,27191,0.013070831,0.436582498,44.58138512,-114.9426578
CB_2012_IL,Illinois,2012,369963758,39940268,9.262926278,3.262926278,2109088,0.013070831,0.562628209,40.26787428,-88.95566876
CB_2012_IN,Indiana,2012,59974813,6642964,9.028321243,3.028321243,647719,0.013070831,1.065868724,40.1633986,-86.19105122
CB_2012_KS,Kansas,2012,51263199,5611490,9.135398798,3.135398798,440285,0.013070831,0.847645324,38.42146235,-98.08560159
CB_2012_KY,Kentucky,2012,52892577,5818398,9.0905739,3.0905739,536894,0.013070831,1.001797188,37.51944462,-85.49268128
CB_2012_LA,Louisiana,2012,64560724,7335897,8.800658461,2.800658461,598496,0.013070831,0.914910991,31.18916971,-92.05054183
CB_2012_MA,Massachusetts,2012,251570288,22964478,10.95475752,4.95475752,2235710,0.013070831,0.877085855,42.1798975,-71.55575236
CB_2012_MD,Maryland,2012,25994600,2688249,9.669714375,3.669714375,152240,0.013070831,0.578005034,38.97602171,-76.81425542
CB_2012_ME,Maine,2012,21676197,1924249,11.2647568,5.2647568,97643,0.013070831,0.444573948,44.84531507,-69.25283734
CB_2012_MI,Michigan,2012,49632607,5287558,9.386678501,3.386678501,760927,0.013070831,1.513080003,43.67083025,-84.88541961
CB_2012_MN,Minnesota,2012,59004888,6063563,9.731058785,3.731058785,592127,0.013070831,0.99040508,45.6859403,-94.22007026
CB_2012_MO,Missouri,2012,125234404,12527799,9.996520857,3.996520857,1138027,0.013070831,0.89683985,38.27735146,-92.32851702
CB_2012_MS,Mississippi,2012,59594925,6755882,8.821190927,2.821190927,518783,0.013070831,0.859137041,32.87465806,-89.54541929
CB_2012_MT,Montana,2012,26078386,2913707,8.95024311,2.95024311,264297,0.013070831,1.000224548,47.0749357,-110.1561223
CB_2012_NC,North Carolina,2012,1710267909,201343063,8.494297661,2.494297661,14141589,0.013070831,0.816056163,35.49967047,-79.10223033
CB_2012_ND,North Dakota,2012,27899711,2963205,9.415383343,3.415383343,437702,0.013070831,1.548334573,47.53318374,-99.87728715
CB_2012_NE,Nebraska,2012,55411560,5614670,9.869067995,3.869067995,668142,0.013070831,1.190020329,41.27923812,-98.79016149
CB_2012_NH,New Hampshire,2012,2681265,280813,9.548222483,3.548222483,21441,0.013070831,0.789207643,43.40460397,-71.65968883
CB_2012_NJ,New Jersey,2012,60149457,6190909,9.715771464,3.715771464,-237541,0.013070831,-0.38975604,40.21945002,-74.63439848
CB_2012_NM,New Mexico,2012,14402898,1501995,9.589178393,3.589178393,125452,0.013070831,0.859634208,34.43756761,-105.9641391
CB_2012_NV,Nevada,2012,38792641,9465004,4.098534031,-1.901465969,2319336,0.013070831,5.900656134,38.6258707,-116.7215876
CB_2012_NY,New York,2012,720997777,80929095,8.909005803,2.909005803,5405464,0.013070831,0.739920463,42.48277663,-75.35484467
CB_2012_OH,Ohio,2012,2567268246,219250197,11.70930873,5.70930873,23178632,0.013070831,0.891050947,40.39667963,-82.88624562
CB_2012_OK,Oklahoma,2012,84282806,8162279,10.32589134,4.32589134,958775,0.013070831,1.122699942,35.52994365,-97.3002328
CB_2012_OR,Oregon,2012,33800537,4258620,7.936969488,1.936969488,426370,0.013070831,1.244941729,44.34036466,-121.8863932
CB_2012_PA,Pennsylvania,2012,136990517,16700757,8.202653149,2.202653149,1180127,0.013070831,0.85020612,40.69615224,-77.75397076
CB_2012_PR,Puerto Rico,2012,70406537,7607456,9.254938445,3.254938445,347640,0.013070831,0.487307104,18.30369498,-66.13640477
CB_2012_RI,Rhode Island,2012,130153271,21272901,6.118266192,0.118266192,798007,0.013070831,0.605114554,41.54868176,-71.49908653
CB_2012_SC,South Carolina,2012,36141827,3631605,9.952025895,3.952025895,141326,0.013070831,0.385920589,33.91439857,-80.74432706
CB_2012_SD,South Dakota,2012,2623438259,286408427,9.159780271,3.159780271,28556031,0.013070831,1.074268847,44.29870337,-99.72353599
CB_2012_TN,Tennessee,2012,82318945,9253249,8.896220668,2.896220668,450185,0.013070831,0.539730809,35.81548238,-86.44272393
CB_2012_TX,Texas,2012,362159618,38261628,9.465347841,3.465347841,3680168,0.013070831,1.002890705,31.48480704,-98.13369455
CB_2012_UT,Utah,2012,357544960,47420802,7.539833679,1.539833679,6469391,0.013070831,1.785742046,39.2540654,-111.5735908
CB_2012_VA,Virginia,2012,585409888,71400508,8.198959705,2.198959705,2947767,0.013070831,0.496957311,37.51845036,-78.43496725
CB_2012_VI,Virgin Islands Of The U.S.,2012,216142,26923,8.028154366,2.028154366,162,0.013070831,0.073971059,18.09237106,-64.84341306
CB_2012_VT,Vermont,2012,4305647,370604,11.61791832,5.61791832,36540,0.013070831,0.837560344,44.07502047,-72.75660342
CB_2012_WA,Washington,2012,41279593,5209905,7.923290924,1.923290924,719751,0.013070831,1.720809738,47.46824247,-120.9704813
CB_2012_WI,Wisconsin,2012,81710232,9509711,8.592293919,2.592293919,675712,0.013070831,0.816152232,44.34315651,-89.70765832
CB_2012_WV,West Virginia,2012,26614150,2891015,9.205815259,3.205815259,244335,0.013070831,0.9060644,38.67690177,-80.83515037
CB_2012_WY,Wyoming,2012,6688977,653381,10.23748318,4.23748318,67316,0.013070831,0.993218005,42.86022637,-107.6590035
CB_2011_AK,Alaska,2011,4651727,643047,7.233883371,1.233883371,53780,0.011373383,1.142980649,61.33431076,-152.6871729
CB_2011_AL,Alabama,2011,222605668,30572185,7.281313652,1.281313652,-1261060,0.011373383,-0.560056486,32.63330898,-86.76992225
CB_2011_AR,Arkansas,2011,57412895,6510392,8.818654084,2.818654084,602526,0.011373383,1.037525178,35.0732061,-92.236676
CB_2011_AS,American Samoa,2011,0,0,0,0,0,0.011373383,0,14.24371639,-169.9348184
CB_2011_AZ,Arizona,2011,11961989,1477218,8.097646387,2.097646387,44460,0.011373383,0.36745009,34.0003639,-111.4947231
CB_2011_CA,California,2011,449683677,58109275,7.738586947,1.738586947,4212106,0.011373383,0.926028744,36.98096231,-120.0946519
CB_2011_CO,Colorado,2011,41092470,4057034,10.12869747,4.12869747,312763,0.011373383,0.752463472,39.19933508,-105.6264691
CB_2011_CT,Connecticut,2011,26461939,2716350,9.741726582,3.741726582,148747,0.011373383,0.555723613,41.55935152,-72.70859702
CB_2011_DC,District Of Columbia,2011,1534198,174765,8.778634166,2.778634166,8623,0.011373383,0.555660177,38.86872333,-77.00747583
CB_2011_DE,Delaware,2011,837184311,118076838,7.090165397,1.090165397,15868163,0.011373383,1.87386315,39.24735872,-75.54971961
CB_2011_FL,Florida,2011,95519414,10184074,9.379293002,3.379293002,-202029,0.011373383,-0.209100159,28.19851121,-81.99087212
CB_2011_GA,Georgia,2011,261726482,29638749,8.830550912,2.830550912,421391,0.011373383,0.159173178,32.6948752,-83.45712495
CB_2011_GU,Guam,2011,1427713,126072,11.32458436,5.32458436,7038,0.011373383,0.487349637,13.48345,-144.7959825
CB_2011_HI,Hawaii,2011,35163402,4250637,8.272501745,2.272501745,410929,0.011373383,1.15533573,20.98874576,-157.2086999
CB_2011_IA,Iowa,2011,63017973,6590013,9.562647752,3.562647752,666013,0.011373383,1.044841888,41.94750209,-93.43162288
CB_2011_ID,Idaho,2011,7368960,890345,8.276522022,2.276522022,-23441,0.011373383,-0.314486665,44.58138512,-114.9426578
CB_2011_IL,Illinois,2011,370165909,38555690,9.600811424,3.600811424,1470155,0.011373383,0.392644036,40.26787428,-88.95566876
CB_2011_IN,Indiana,2011,55635156,6109784,9.105912091,3.105912091,485816,0.011373383,0.863286208,40.1633986,-86.19105122
CB_2011_KS,Kansas,2011,49885090,5439626,9.170683793,3.170683793,365364,0.011373383,0.724081234,38.42146235,-98.08560159
CB_2011_KY,Kentucky,2011,52621024,5593796,9.407033077,3.407033077,339326,0.011373383,0.637514609,37.51944462,-85.49268128
CB_2011_LA,Louisiana,2011,62299467,7061768,8.822077842,2.822077842,446823,0.011373383,0.709060819,31.18916971,-92.05054183
CB_2011_MA,Massachusetts,2011,241950339,21499975,11.25351723,5.25351723,2053061,0.011373383,0.838895601,42.1798975,-71.55575236
CB_2011_MD,Maryland,2011,24839992,2528378,9.824477194,3.824477194,82528,0.011373383,0.328459757,38.97602171,-76.81425542
CB_2011_ME,Maine,2011,19617077,1874758,10.46379159,4.46379159,56890,0.011373383,0.286704121,44.84531507,-69.25283734
CB_2011_MI,Michigan,2011,48877126,4722760,10.34927161,4.34927161,234435,0.011373383,0.474186393,43.67083025,-84.88541961
CB_2011_MN,Minnesota,2011,56523783,5800501,9.744638092,3.744638092,394425,0.011373383,0.689867225,45.6859403,-94.22007026
CB_2011_MO,Missouri,2011,119582358,11814428,10.12172219,4.12172219,877597,0.011373383,0.725538255,38.27735146,-92.32851702
CB_2011_MS,Mississippi,2011,56769690,6202953,9.152042584,3.152042584,414099,0.011373383,0.721140618,32.87465806,-89.54541929
CB_2011_MT,Montana,2011,21942497,2445780,8.971574303,2.971574303,194331,0.011373383,0.875564887,47.0749357,-110.1561223
